year	cleaned_tweets
2010	방금 한남대로 육교위를 걸어가다 한남대로가 뚤려있고 패트롤카와 리무진이 아래로 지나가길래 잠깐 아래를 내려보는 순간 갑자기 경찰두명에게 손을 뒤로 꺾여 끌려나갔다. 아이폰이 떨어졌지만 행렬이 끝날때까지 줍지못했다. 아이폰 액정엔 큰 상처. 어이상실!
2010	‘좋은아버지되려는사람모임’아빠10계명▷자녀앞서부모님흉보지말라 자녀앞서부부싸움말라 자녀판단생각존중하고자녀와약속반드시지키라 자녀에공부만강요말고함부로매질말라 자녀에너무자주훈계말라 자녀원한다고다해주지말라 자녀남과비교해말말라 자녀앞서의연한남편모습보이라.
2010	최철원 사람 팬 데가.. 다름 아닌 다음 한남 사옥이 있는 일신 빌딩!! M&amp;M 뭐하는 회사인가 했는데 사람패는데였구나~ ㄷㄷㄷ 매&amp;매 인가? -_-; http://bit.ly/glUqSb
2010	I'm at 문타로 (용산구 한남2동 683-124, Seoul). http://4sq.com/6EXI8P
2010	현재 탭택시는 회현, 역삼, 한남, 여의도, 대치에 위치하고 있습니다. 근처에 계신 분들~~~ 서둘러 예약해 주세요^^
2010	[한남주] 12. 기타 쿼리 변환 .. http://bit.ly/929cQu
2010	경부고속국도 (한남방향)양재IC-&gt;한남IC, (양재방향)잠원IC-&gt;양재IC 차량증가로 정체 안전운행 #poltra
2010	대전 한남대학교 주변에서 양선모 신분증 들어있는 폴스미스 지갑 습득하신분.. 신용카드랑 OTP랑 신분증만 돌아오게 해주세요.. 나머진 다 가져가도 상관없어요
2010	D-30 디자인코리아 2010 인 한남 오픈 파티 영상입니다. 많은 분들이 찾아주셔서 다양한 쇼케이스에 참여해주시고 행복한 시간을 보냈습니다. http://fb.me/OxV3eZD6
2010	Hoy en nuevo hogar con Kristyn de USA y Sheena de Irlanda! (@ 크라제 한남동점) http://4sq.com/ahX7Dj
2010	암만 ~ RT @mua35: 쪼잔한남자. 증말시러 ㅋ RT @Cool_PD: 오홋 자신감이 생긴다!!!ㅎㅎRT @VagueTrust: 우유부단한남쟈 @MENTHOL102: 멍청한 남자 ㅋ @V 지밖에모르는 남쟈@... http://dw.am/LCGYy
