year	cleaned_tweets	tokenized_tweets
2010	방금 한남대로 육교위를 걸어가다 한남대로가 뚤려있고 패트롤카와 리무진이 아래로 지나가길래 잠깐 아래를 내려보는 순간 갑자기 경찰두명에게 손을 뒤로 꺾여 끌려나갔다. 아이폰이 떨어졌지만 행렬이 끝날때까지 줍지못했다. 아이폰 액정엔 큰 상처. 어이상실!	['방금/MAG', '한/MM', '남대/NNG', '로/JKB', '육/NR', '교위/NNG', '를/JKO', '걸어가/VV', '다/EC', '한남대로/NNP', '가/JKS', '뚤려/MAG', '있/VV', '고/EC', '패트롤/NNP', '카/NNG', '와/JC', '리무진/NNG', '이/JKS', '아래/NNG', '로/JKB', '지나가/VV', '길래/EC', '잠깐/MAG', '아래/NNG', '를/JKO', '내려보/VV', '는/ETM', '순간/NNG', '갑자기/MAG', '경찰/NNG', '두/MM', '명/NNBC', '에게/JKB', '손/NNG', '을/JKO', '뒤/NNG', '로/JKB', '꺾여/VV+EC', '끌려/VV+EC', '나갔/VV+EP', '다/EF', './SF', '아이폰/NNP', '이/JKS', '떨어졌/VV+EP', '지만/EC', '행렬/NNG', '이/JKS', '끝날/VV+ETM', '때/NNG', '까지/JX', '줍/VV', '지/EC', '못했/VX+EP', '다/EF', './SF', '아이폰/NNP', '액정/NNG', '엔/JKB+JX', '큰/VA+ETM', '상처/NNG', './SF', '어/IC', '이상실/NNP', '!/SF']
2010	‘좋은아버지되려는사람모임’아빠10계명▷자녀앞서부모님흉보지말라 자녀앞서부부싸움말라 자녀판단생각존중하고자녀와약속반드시지키라 자녀에공부만강요말고함부로매질말라 자녀에너무자주훈계말라 자녀원한다고다해주지말라 자녀남과비교해말말라 자녀앞서의연한남편모습보이라.	['‘/SY', '좋/VA', '은/ETM', '아버지/NNG', '되/XSV', '려는/ETM', '사람/NNG', '모임/NNG', '’/SY', '아빠/NNG', '10/SN', '계명/NNG', '▷/SY', '자녀/NNG', '앞서/VV+EC', '부모/NNG', '님/XSN', '흉보/VV', '지/EC', '말/VX', '라/EC', '자녀/NNG', '앞서/VV+EC', '부부/NNG', '싸움/NNG', '말라/VV+EC', '자녀/NNG', '판단/NNG', '생/XSN', '각존/NNG', '중/NNB', '하고/JKB', '자녀/NNG', '와/JC', '약속/NNG', '반드시/MAG', '지키/VV', '라/EC', '자녀/NNG', '에/JKB', '공부/NNG', '만강/NNG', '요/VCP+EC', '말/VX', '고/EC', '함부로/MAG', '매질/NNG', '말라/VV+EC', '자녀/NNG', '에/JKB', '너무/MAG', '자주/MAG', '훈계/NNG', '말라/VV+EC', '자녀/NNG', '원한다고/VV+EC', '다/MAG', '해/VV+EC', '주/VX', '지/EC', '말/VX', '라/EC', '자녀/NNG', '남/NNG', '과/JC', '비교/NNG', '해/XSV+EC', '말/NNG', '말라/VV+EC', '자녀/NNG', '앞서/VV+EC', '의연/XR', '한/XSA+ETM', '남편/NNG', '모습/NNG', '보이/VV', '라/EF', './SF']
2010	최철원 사람 팬 데가.. 다름 아닌 다음 한남 사옥이 있는 일신 빌딩!! M&amp;M 뭐하는 회사인가 했는데 사람패는데였구나~ ㄷㄷㄷ 매&amp;매 인가? -_-; http://bit.ly/glUqSb	['최철원/NNP', '사람/NNG', '팬/VV+ETM', '데/NNB', '가/JKS', './SF', './SY', '다름/VA+ETN', '아닌/VCN+ETM', '다음/NNG', '한남/NNG', '사옥/NNG', '이/JKS', '있/VA', '는/ETM', '일신/NNG', '빌딩/NNG', '!/SF', '!/SY', 'M/SL', '&/SY', 'amp/SL', ';/SY', 'M/SL', '뭐/IC', '하/VV', '는/ETM', '회사/NNG', '인가/VCP+EC', '했/VX+EP', '는데/EC', '사람/NNG', '패/VV', '는/ETM', '데/NNB', '였/VCP+EP', '구나/EF', '~/SY', 'ㄷ/NNG', 'ㄷ/NNG', 'ㄷ/NNG', '매/NNG', '&/SY', 'amp/SL', ';/SY', '매/NNG', '인가/VCP+EF', '?/SF', '-_-;/SY', 'http/SL', ':/SC', '//SC', '//SC', 'bit/SL', './SY', 'ly/SL', '//SC', 'glUqSb/SL']
2010	I'm at 문타로 (용산구 한남2동 683-124, Seoul). http://4sq.com/6EXI8P	"['I/SL', ""'/SY"", 'm/SL', 'at/SL', '문/NNG', '타로/NNG', '(/SSO', '용산구/NNP', '한남/NNG', '2/SN', '동/NNBC', '683/SN', '-/SY', '124/SN', ',/SC', 'Seoul/SL', ')/SSC', './SY', 'http/SL', ':/SC', '//SC', '//SC', '4/SN', 'sq/SL', './SY', 'com/SL', '//SC', '6/SN', 'EXI/SL', '8/SN', 'P/SL']"
2010	현재 탭택시는 회현, 역삼, 한남, 여의도, 대치에 위치하고 있습니다. 근처에 계신 분들~~~ 서둘러 예약해 주세요^^	['현재/MAG', '탭/NNG', '택시/NNG', '는/JX', '회현/NNP', ',/SC', '역삼/NNG', ',/SC', '한남/NNG', ',/SC', '여의도/NNP', ',/SC', '대치/NNG', '에/JKB', '위치/NNG', '하/XSV', '고/EC', '있/VX', '습니다/EF', './SF', '근처/NNG', '에/JKB', '계신/VV+ETM', '분/NNB', '들/XSN', '~~~/SY', '서둘러/VV+EC', '예약/NNG', '해/XSV+EC', '주/VX', '세요/EP+EF', '^^/SY']
2010	[한남주] 12. 기타 쿼리 변환 .. http://bit.ly/929cQu	['[/SSO', '한남/NNG', '주/NNG', ']/SSC', '12/SN', './SF', '기타/NNG', '쿼리/NNP', '변환/NNG', './SF', './SY', 'http/SL', ':/SC', '//SC', '//SC', 'bit/SL', './SY', 'ly/SL', '//SC', '929/SN', 'cQu/SL']
2010	경부고속국도 (한남방향)양재IC-&gt;한남IC, (양재방향)잠원IC-&gt;양재IC 차량증가로 정체 안전운행 #poltra	['경부/NNG', '고/VCP+EC', '속국/NNG', '도/JX', '(/SSO', '한남/NNG', '방향/NNG', ')/SSC', '양재/NNP', 'IC/SL', '-&/SY', 'gt/SL', ';/SY', '한남/NNG', 'IC/SL', ',/SC', '(/SSO', '양재/NNP', '방향/NNG', ')/SSC', '잠원/NNP', 'IC/SL', '-&/SY', 'gt/SL', ';/SY', '양재/NNP', 'IC/SL', '차량/NNG', '증가/NNG', '로/JKB', '정체/NNG', '안전/NNG', '운행/NNG', '#/SY', 'poltra/SL']
2010	대전 한남대학교 주변에서 양선모 신분증 들어있는 폴스미스 지갑 습득하신분.. 신용카드랑 OTP랑 신분증만 돌아오게 해주세요.. 나머진 다 가져가도 상관없어요	['대전/NNP', '한남/NNG', '대학교/NNG', '주변/NNG', '에서/JKB', '양선모/NNP', '신분증/NNG', '들/VV', '어/EC', '있/VX', '는/ETM', '폴스미스/NNP', '지갑/NNG', '습득/NNG', '하/XSV', '신/EP+ETM', '분/NNB', './SF', './SY', '신용카드/NNP', '랑/JC', 'OTP/SL', '랑/JC', '신분증/NNG', '만/JX', '돌아오/VV', '게/EC', '해/VV+EC', '주/VX', '세요/EP+EF', './SF', './SY', '나머진/NNG+JX', '다/MAG', '가져가/VV+EC', '도/JX', '상관없/VA', '어요/EF']
2010	D-30 디자인코리아 2010 인 한남 오픈 파티 영상입니다. 많은 분들이 찾아주셔서 다양한 쇼케이스에 참여해주시고 행복한 시간을 보냈습니다. http://fb.me/OxV3eZD6	['D/SL', '-/SY', '30/SN', '디자인/NNG', '코리아/NNG', '2010/SN', '인/NNG', '한남/NNG', '오픈/NNG', '파티/NNG', '영상/NNG', '입니다/VCP+EF', './SF', '많/VA', '은/ETM', '분/NNB', '들/XSN', '이/JKS', '찾/VV', '아/EC', '주/VX', '셔서/EP+EC', '다양/XR', '한/XSA+ETM', '쇼/NNG', '케이스/NNG', '에/JKB', '참여/NNG', '해/XSV+EC', '주/VX', '시/EP', '고/EC', '행복/NNG', '한/XSA+ETM', '시간/NNG', '을/JKO', '보냈/VV+EP', '습니다/EF', './SF', 'http/SL', ':/SC', '//SC', '//SC', 'fb/SL', './SY', 'me/SL', '//SC', 'OxV/SL', '3/SN', 'eZD/SL', '6/SN']
2010	Hoy en nuevo hogar con Kristyn de USA y Sheena de Irlanda! (@ 크라제 한남동점) http://4sq.com/ahX7Dj	['Hoy/SL', 'en/SL', 'nuevo/SL', 'hogar/SL', 'con/SL', 'Kristyn/SL', 'de/SL', 'USA/SL', 'y/SL', 'Sheena/SL', 'de/SL', 'Irlanda/SL', '!/SY', '(/SSO', '@/SY', '크라제/NNP', '한남동/NNP', '점/NNG', ')/SSC', 'http/SL', ':/SC', '//SC', '//SC', '4/SN', 'sq/SL', './SY', 'com/SL', '//SC', 'ahX/SL', '7/SN', 'Dj/SL']
